rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
50,70,11:00,2.0,1.0,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,11:00,2.0,1.1,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,11:00,2.0,1.2,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,11:00,2.5,1.0,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,11:00,2.5,1.1,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,11:00,2.5,1.2,4,2,2,0,1,3,50.0,-482.98,-0.483,0.2986,688.61,0.6886,-120.75,99517.02
50,70,12:00,1.5,1.0,15,5,10,0,2,13,33.33,-1989.34,-1.9893,0.2844,2460.61,2.4606,-132.62,98010.66
50,70,12:00,1.5,1.1,13,5,8,0,2,11,38.46,-1464.05,-1.4641,0.3507,1945.32,1.9453,-112.62,98535.95
50,70,12:00,1.5,1.2,11,3,8,0,2,9,27.27,-1884.09,-1.8841,0.1599,2036.94,2.0369,-171.28,98115.91
50,70,12:00,2.0,1.0,15,5,10,0,2,13,33.33,-1989.34,-1.9893,0.2844,2460.61,2.4606,-132.62,98010.66
50,70,12:00,2.0,1.1,13,5,8,0,2,11,38.46,-1464.05,-1.4641,0.3507,1945.32,1.9453,-112.62,98535.95
50,70,12:00,2.0,1.2,11,3,8,0,2,9,27.27,-1884.09,-1.8841,0.1599,2036.94,2.0369,-171.28,98115.91
50,70,12:00,2.5,1.0,15,5,10,0,2,13,33.33,-1989.34,-1.9893,0.2844,2460.61,2.4606,-132.62,98010.66
