lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
20,50.0,1.0,1.0,2.0,10,0,10,0,0.0,261,21.07241379310345,-10764.800000000001,-1076.48,0.0,True
20,60.0,1.0,1.0,3.0,10,0,10,0,0.0,256,15.6245703125,-10769.29,-1076.929,0.0,True
20,55.0,1.0,1.0,2.0,10,0,10,0,0.0,260,20.768576923076925,-10851.96,-1085.196,0.0,True
10,60.0,1.5,1.2,2.5,10,1,9,0,10.0,322,23.912204968944103,-10965.36,-1096.536,0.006641198622660156,True
20,60.0,1.0,1.2,3.0,10,0,10,0,0.0,256,16.7967578125,-10977.99,-1097.799,0.0,True
20,50.0,1.0,1.0,3.0,10,0,10,0,0.0,261,15.709616858237546,-11020.74,-1102.074,0.0,True
20,60.0,1.0,1.2,2.0,10,0,10,0,0.0,256,21.483867187500003,-11042.4,-1104.24,0.0,True
20,55.0,1.0,1.0,3.0,10,0,10,0,0.0,260,15.38426923076923,-11044.779999999999,-1104.4779999999998,0.0,True
12,60.0,1.5,1.0,3.0,10,0,10,0,0.0,303,18.81135313531353,-11067.65,-1106.7649999999999,0.0,True
20,60.0,1.0,1.2,2.5,10,0,10,0,0.0,256,18.3603125,-11167.279999999999,-1116.7279999999998,0.0,True
12,60.0,1.5,1.2,2.0,10,1,9,0,10.0,303,26.073597359735974,-11180.72,-1118.072,0.0017873819051241258,True
20,50.0,1.0,1.2,2.0,10,0,10,0,0.0,261,21.455785440613028,-11242.48,-1124.248,0.0,True
10,60.0,1.5,1.0,3.0,10,1,9,0,10.0,322,18.942857142857143,-11245.330000000002,-1124.5330000000001,0.002971934195418859,True
20,50.0,1.0,1.2,3.0,10,0,10,0,0.0,261,16.859003831417624,-11260.44,-1126.044,0.0,True
20,55.0,1.0,1.2,3.0,10,0,10,0,0.0,260,16.538076923076922,-11285.08,-1128.508,0.0,True
12,50.0,1.5,1.2,3.0,10,1,9,0,10.0,320,21.249687499999997,-11295.94,-1129.594,0.0035874922044597107,True
20,55.0,1.0,1.2,2.0,10,0,10,0,0.0,260,21.15423076923077,-11353.079999999998,-1135.3079999999998,0.0,True
12,60.0,1.5,1.0,2.5,10,0,10,0,0.0,303,20.46072607260726,-11363.79,-1136.3790000000001,0.0,True
8,60.0,1.5,1.2,3.0,10,0,10,0,0.0,343,21.57492711370262,-11388.869999999999,-1138.887,0.0,True
12,55.0,1.5,1.2,3.0,10,0,10,0,0.0,318,20.753962264150946,-11400.02,-1140.002,0.0,True
20,50.0,1.0,1.2,2.5,10,0,10,0,0.0,261,18.39206896551724,-11453.329999999998,-1145.3329999999999,0.0,True
8,60.0,1.5,1.2,2.5,10,0,10,0,0.0,343,24.4898833819242,-11455.83,-1145.583,0.0,True
8,60.0,1.5,1.0,3.0,10,0,10,0,0.0,343,20.408338192419826,-11471.09,-1147.109,0.0,True
20,55.0,1.0,1.2,2.5,10,0,10,0,0.0,260,18.077846153846153,-11477.96,-1147.7959999999998,0.0,True
12,50.0,1.5,1.2,2.5,10,1,9,0,10.0,320,23.43853125,-11527.27,-1152.727,0.014179338702325395,True
10,60.0,1.5,1.2,2.0,10,1,9,0,10.0,322,26.086118012422364,-11569.36,-1156.9360000000001,0.004914634670795166,True
12,55.0,1.5,1.2,2.5,10,1,9,0,10.0,318,22.95720125786164,-11632.49,-1163.249,0.008082017383414896,True
10,60.0,1.5,1.0,2.5,10,0,10,0,0.0,322,20.49639751552795,-11667.92,-1166.792,0.0,True
12,60.0,1.5,1.0,2.0,10,0,10,0,0.0,303,22.442409240924093,-11724.39,-1172.4389999999999,0.0,True
12,50.0,1.5,1.0,3.0,10,0,10,0,0.0,320,18.438031249999998,-11923.17,-1192.317,0.0,True
10,50.0,1.5,1.2,3.0,10,0,10,0,0.0,344,20.931075581395348,-11942.72,-1194.272,0.0,True
