timestamp,open,high,low,close,volume,open_interest,ema_20,ema_50,rsi,vwap,atr,macd,macd_signal,macd_histogram,day_of_week,day_of_week_number,month,hour,minute,time_minutes,ema_distance,ema_trend_distance,vwap_distance,atr_percent,volume_ratio,candle_range,candle_range_percent,candle_body,candle_body_percent,bullish_candle
2026-07-14 09:15:00,1290.3,1296.2,1290.3,1295.4,289536,,1295.4,1295.4,,1293.9666666666667,,0.0,0.0,0.0,Tuesday,1,7,9,15,555,0.0,0.0,0.11077049898246172,,1.0,5.900000000000091,0.4554577736606524,5.100000000000136,0.39525691699605797,1
2026-07-14 09:20:00,1295.3,1297.9,1295.1,1297.7,208045,,1295.6190476190477,1295.4901960784316,,1295.1931309676213,,0.18347578347584204,0.03669515669516841,0.14678062678067363,Tuesday,1,7,9,20,560,0.16061452513966162,0.009946160998064078,0.19355175474918532,,0.8362256597418309,2.800000000000182,0.21576635586038234,2.400000000000091,0.18528526210145072,1
2026-07-14 09:25:00,1297.6,1298.6,1296.2,1297.3,195651,,1295.7791383219956,1295.5611687812382,,1295.8065683638379,,0.29322489265518925,0.08800110388717258,0.20522378876801667,Tuesday,1,7,9,25,565,0.11737044014876448,0.016824334196620223,0.11525112409700015,,0.8466905740069702,2.3999999999998636,0.18499961458412578,-0.2999999999999545,-0.02311960542539724,0
2026-07-14 09:30:00,1297.2,1298.0,1295.6,1297.3,159964,,1295.9239822913294,1295.6293582407975,,1296.0240728586004,,0.3758690677368577,0.14557469665710962,0.23029437107974807,Tuesday,1,7,9,30,570,0.10618043399718897,0.022739840576930535,0.09844933964731328,,0.7499519453912113,2.400000000000091,0.1849996145841433,0.09999999999990905,0.00770891150168895,1
2026-07-14 09:35:00,1297.2,1298.0,1295.1,1295.4,245429,,1295.8740792159647,1295.620363799982,,1296.0559278188643,,0.2847684178123018,0.17341344088814806,0.11135497692415372,Tuesday,1,7,9,35,575,-0.036583740933488144,0.019582543086816246,-0.050609530405691605,,1.1169825918762089,2.900000000000091,0.2238690751891378,-1.7999999999999545,-0.13876040703052378,0
2026-07-14 09:40:00,1295.2,1297.5,1294.5,1297.2,175169,,1296.0003573858728,1295.6823103176298,,1296.1032437741108,,0.35373778419261726,0.2094783095490419,0.14425947464357536,Tuesday,1,7,9,40,580,0.09256499099637663,0.024546685997822764,0.0846195109191811,,0.825105158290901,3.0,0.23126734505087881,2.0,0.1544163063619518,1
2026-07-14 09:45:00,1297.1,1297.4,1295.3,1296.2,117835,,1296.0193709681707,1295.7026118738013,,1296.1199039399148,,0.32397033296138034,0.2323767142315096,0.09159361872987073,Tuesday,1,7,9,45,585,0.013937216979586976,0.024446897881247504,0.006179679815250953,,0.5927190364673343,2.1000000000001364,0.16201203517976673,-0.8999999999998636,-0.06938555238608153,0
2026-07-14 09:50:00,1296.3,1296.7,1295.0,1295.0,83797,,1295.922288018821,1295.6750584669855,,1296.0884827613627,,0.2012297904529987,0.22614732947580743,-0.024917539022808716,Tuesday,1,7,9,50,590,-0.07116846645419136,0.01908113845519519,-0.0839821336151088,,0.4543609777786212,1.7000000000000455,0.1312741312741348,-1.2999999999999545,-0.10028542775591719,0
2026-07-14 09:55:00,1295.6,1299.0,1295.0,1298.4,185280,,1296.158260588457,1295.7819189192608,,1296.2422426164935,,0.37399740198679865,0.25571734397800566,0.11828005800879299,Tuesday,1,7,9,55,595,0.17295259997997794,0.029043596279705867,0.16646251083062197,,1.004103074234693,4.0,0.3080714725816389,2.800000000000182,0.21611608521149905,1
2026-07-14 10:00:00,1298.0,1301.9,1297.7,1299.2,475250,,1296.4479500562231,1295.915961314584,,1296.9893433042002,,0.5689122269552627,0.3183563205734571,0.2505559063818056,Tuesday,1,7,10,0,600,0.2122761614654535,0.04105117596511217,0.1704452474657923,,2.22499901683368,4.2000000000000455,0.323275862068969,1.2000000000000455,0.09244992295840104,1
